category_key,parent_category_key,name.de_DE,name.en_US,meta_title.de_DE,meta_title.en_US,meta_description.de_DE,meta_description.en_US,meta_keywords.de_DE,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,category_image_name.de_DE
demoshop,,Demoshop,Demoshop,Demoshop,Demoshop,Deutsche Version des Demoshop,English version of Demoshop,Deutsche Version des Demoshop,English version of Demoshop,1,1,1,0,1,1,,Catalog (default),,
cameras-and-camcorder,demoshop,Kameras & Camcorder,Cameras & Camcorders,Kameras & Camcorder,Cameras & Camcorders,Kameras & Camcorder,Cameras & Camcorders,Kameras & Camcorder,Cameras & Camcorders,1,1,1,1,0,1,90,Catalog (default),/assets/static/images/category-2.jpg,/assets/static/images/category-2.jpg
digital-cameras,cameras-and-camcorder,Digitale Kameras,Digital Cameras,Digitale Kameras,Digital Cameras,Digitale Kameras,Digital Cameras,Digitale Kameras,Digital Cameras,1,1,1,1,0,1,100,Catalog + CMS Slot,/assets/static/images/category-2.jpg,/assets/static/images/category-2.jpg
camcorders,cameras-and-camcorder,Camcorder,Camcorders,Camcorder,Camcorders,Camcorder,Camcorders,Camcorder,Camcorders,1,1,1,1,0,1,90,Catalog + CMS Slot,/assets/static/images/category-2.jpg,/assets/static/images/category-2.jpg
computer,demoshop,Computer,Computers,Computer,Computers,Computer,Computers,Computer,Computers,1,1,1,1,0,1,100,Catalog + CMS Slot,/assets/static/images/category-5.jpg,/assets/static/images/category-5.jpg
notebooks,computer,Notebooks,Notebooks,Notebooks,Notebooks,Notebooks,Notebooks,Notebooks,Notebooks,1,1,1,1,0,1,100,Catalog + CMS Slot,/assets/static/images/category-6.jpg,/assets/static/images/category-6.jpg
pcs-and-workstations,computer,PCs & Workstations,PCs & Workstations,PCs & Workstations,PCs & Workstations,PCs & Workstations,PCs & Workstations,PCs & Workstations,PCs & Workstations,1,1,1,1,0,1,90,Catalog + CMS Slot,/assets/static/images/category-7.jpg,/assets/static/images/category-7.jpg
tablets,computer,Tablets,Tablets,Tablets,Tablets,Tablets,Tablets,Tablets,Tablets,1,1,1,1,0,1,80,Catalog + CMS Slot,/assets/static/images/category-8.jpg,/assets/static/images/category-8.jpg
smart-wearables,demoshop,Smart Wearables,Smart Wearables,Smart Wearables,Smart Wearables,Smart Wearables,Smart Wearables,Smart Wearables,Smart Wearables,1,1,1,1,0,1,70,Catalog (default),/assets/static/images/category-9.jpg,/assets/static/images/category-9.jpg
smartwatches,smart-wearables,Smartwatches,Smartwatches,Smartwatches,Smartwatches,Smartwatches,Smartwatches,Smartwatches,Smartwatches,1,1,1,1,0,1,70,Catalog + CMS Slot,/assets/static/images/category-9.jpg,/assets/static/images/category-9.jpg
telecom-and-navigation,demoshop,Telekommunikation & Navigation,Telecom & Navigation,Telekommunikation & Navigation,Telecom & Navigation,Telekommunikation & Navigation,Telecom & Navigation,Telekommunikation & Navigation,Telecom & Navigation,1,1,1,1,0,1,80,Catalog (default),/assets/static/images/category-11.jpg,/assets/static/images/category-11.jpg
smartphones,telecom-and-navigation,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,1,1,1,1,0,1,80,Catalog + CMS Slot,/assets/static/images/category-11.jpg,/assets/static/images/category-11.jpg
product-bundles,demoshop,Product Bundles,Product Bundles,Product Bundles,Product Bundles,Hier findest du verschiedene Produkte zu einem Bündel kombiniert.,These are multiple products bundled to a new product.,Product Bundles,Product Bundles,1,0,1,1,0,1,60,Catalog (default),,
variant-showcase,demoshop,Variant Showcase,Variant Showcase,Variant Showcase,Variant Showcase,Diese Produkte haßben mehr als eine Variante.,These are products that have more than 1 variant.,Variant Showcase,Variant Showcase,1,0,1,1,0,1,50,Catalog (default),,
cables,demoshop,Kabel,Cables,Kabel,Cables,Kabel,Cables,Kabel,Cables,1,1,1,1,0,1,80,Catalog + CMS Slot,,
food,demoshop,Essen,Food,Essen,Food,Essen,Food,Essen,Food,1,1,1,1,0,1,80,Catalog + CMS Slot,,
gift-cards,demoshop,Geschenkgutscheine,Gift Cards,Geschenkgutscheine,Gift Cards,Geschenkgutscheine,Gift Cards,Geschenkgutscheine,Gift Cards,1,0,0,1,0,1,150,Catalog (default),,
